1,1992,1,Barcelona
2,2012,1,London
3,1920,1,Antwerpen
4,1900,1,Paris
5,1988,2,Calgary
6,1992,2,Albertville
7,1994,2,Lillehammer
8,1932,1,Los Angeles
9,2002,2,Salt Lake City
10,1952,1,Helsinki
11,1980,2,Lake Placid
12,2000,1,Sydney
13,1996,1,Atlanta
14,1912,1,Stockholm
15,1924,1,Paris
16,2014,2,Sochi
17,1948,1,London
18,1998,2,Nagano
19,2006,2,Torino
20,2008,1,Beijing
21,2016,1,Rio de Janeiro
22,2004,1,Athina
23,1960,2,Squaw Valley
24,1964,2,Innsbruck
25,1984,2,Sarajevo
26,1984,1,Los Angeles
27,1968,1,Mexico City
28,1972,1,Munich
29,1988,1,Seoul
30,1936,1,Berlin
31,1952,2,Oslo
32,1956,2,Cortina d'Ampezzo
33,1956,1,Melbourne
34,1960,1,Roma
35,1928,1,Amsterdam
36,1976,1,Montreal
37,1980,1,Moskva
38,1964,1,Tokyo
39,2010,2,Vancouver
40,1968,2,Grenoble
41,1906,1,Athina
42,1972,2,Sapporo
43,1976,2,Innsbruck
44,1924,2,Chamonix
45,1904,1,St. Louis
46,1928,2,Sankt Moritz
47,1908,1,London
48,1948,2,Sankt Moritz
49,1932,2,Lake Placid
50,1936,2,Garmisch-Partenkirchen
51,1896,1,Athina
